of the Unleavened Bread,ܕܦܛܝܪ̈ܐ
"of the Eve of Preparation, the Sixth, of the Fast",ܕܥܪܘܒܬܐ ܕܫܬ ܕܨܘܡܐ܀
"of the First (Day) of the Week, the Seventh, of the Fast, which is the Feast of the Hosannas",ܕܚܕܒܫܒܐ ܕܫܒܥܐ ܕܨܘܡܐ ܕܗܘܝܘ ܥܐܕܐ ܕܐܘܫܥ̈ܢܐ
"of the Second (Day) of the Week, of the Last Week of the Fast",ܕܬܪܝܢ ܒܫܒܐ ܕܫܒܬܐ ܐܚܪܝܬܐ ܕܨܘܡܐ܀
"of the Third (Day) of the Week, of the Last Week of the Fast",ܕܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܐܚܪܝܬܐ ܕܨܘܡܐ܀
"of the Fourth (Day) of the Week, of the Last Week of the Fast",ܕܐܪܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܐܚܪܝܬܐ ܕܨܘܡܐ܀
"of the Fifth (Day) of the Week, of Pesach",ܕܚܡܫܐ ܒܫܒܐ ܕܦܨܚ
"of the Eve of Preparation, of Passion",ܕܥܪܘܒܬܐ ܕܚܫܐ܀
Readings of the Great Sabbath,ܩܪܝܢܐ ܕܫܒܬܐ ܪܒܬܐ
"Reading of the First (Day) of the Week, of Resurrection",ܩܪܝܢܐ ܕܚܕܒܫܒܐ ܕܩܝܡܬܐ
"of the Second (Day) of the Week, of the Week of Weeks",ܕܬܪܝܢ ܒܫܒܐ ܕܫܒܬ ܫܒ̈ܐ܀
"of the Third (Day) of the Week, of the Week of Weeks",ܕܬܠܬ ܒܫܒܐ ܕܫܒܬ ܫܒ̈ܐ܀܀
"of the Fourth (Day) of the Week, of Week of Weeks",ܕܐܪܒܥܐ ܒܫܒܐ ܕܫܒܬ ܫ̈ܒܐ܀܀
"of the Fifth (Day) of the Week , of the Week of Weeks",ܕܚܡܫܐ ܒܫܒܐ ܕܫܒܬ ܫܒ̈ܐ܀܀
"of the Eve of Preparation, of the Confessors",ܕܥܪܘܒܬܐ ܕܡܘ̈ܕܝܢܐ
"of the First (Day) of the Week, the Second, of the Resurrection, also called the New",ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܩܝܡܬܐ. ܘܡܬܩܪܐ ܚܕܬܐ
"of the First (Day) of the Week, the Third, after the Resurrection",ܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܒܬܪ ܩܝܡܬܐ
"of the First (Day) of the Week, the Fourth after the Resurrection",ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܒܬܪ ܩܝܡܬܐ܀
"of the Commemoration of the Glorious Martyr Mar Giwargis, which is in the 24th of Nisan",ܕܕܘܟܪܢܐ ܕܣܗܕܐ ܢܨܝܚܐ ܡܪܝ ܓܝܘܪܓܝܣ܀ ܕܗ̣ܘܐ ܒܥܣܪܝܢ ܘܐܪܒܥܐ ܒܢܝܣܢ
Readings of the Feast of the Ascension of our Lord into Heaven,ܩܪܝܢܐ ܕܥܐܕܐ ܕܣܘܠܩܗ ܕܡܪܢ ܕܠܫܡܝܐ܀
"of the First (Day) of the Week, after the Ascension; and furthermore of the Consecration of the Church",ܕܚܕܒܫܒܐ ܕܒܬܪ ܣܘܠܩܐ܀
"of the First (Day) of the Week, of Pentecost",ܕܚܕ ܒܫܒܐ ܕܦܢܛܩܘܣ̈ܛܐ
"of the First (Day) of the Week, the Second of the period of the Apostles",ܕܚܕ ܒܫܒܐ ܕܬܪܝܢ ܕܫܒܘܥܐ ܕܫܠܝ̈ܚܐ܀
"of the First (Day) of the Week, the Third, of the period of the Apostles",ܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܫܒܘܥܐ ܕܫ̈ܠܝܚܐ
"of the First (Day) of the Week, the Fourth of the period of the Apostles",ܕܚܕ ܒܫܒܐ ܕܐܪܒܥܐ ܕܫܒܘܥܐ ܕܫ̈ܠܝܚܐ
"of the First (Day) of the Week, the Fifth, of the period of the Apostles",ܕܚܕܒܫܒܐ ܕܚܡܫܐ ܕܫܒܘܥܐ ܕܫ̈ܠܝܚܐ
"of the First (Day) of the Week, the Sixth of period of the Apostles",ܕܚܕ ܒܫܒܐ ܕܫܬܐ ܕܫܒܘܥܐ ܕܫ̈ܠܝܚܐ
"of the First (Day) of the Week, the Seventh of the period of the Apostles",ܕܚܕ ܒܫܒܐ ܕܫܒܥܐ ܕܫܒܘܥܐ ܕܫ̈ܠܝܚܐ
"of the First (Day) of the Week, of the end of the period of the Apostles, and the Beginning of the summer",ܕܚܕ ܒܫܒܐ ܕܫܘܠܡ ܫܒܘܥܐ ܕܫܠܝ̈ܚܐ ܘܫܘܪܝ ܫܒܘܥܐ ܕܩܝܛܐ܀
"of the First (Day) of the Week, the Second, of the period of Summer",ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܫܒܘܥܐ ܕܩܝܛܐ܀
"of the First (Day) of the Week, the Third of the period of summer",ܕܚܕ ܒܫܒܐ ܕܬܠܬܐ ܕܫܒܘܥܐ ܕܩܝܛܐ܀
"of First (Day) of the Week, the Fourth of summer",ܕܚܕ ܒܫܒܐ ܕܐܪܒܥܐ ܕܩܝܛܐ܀
"of the First (Day) of the Week, the Fifth, of the period of summer",ܕܚܕܒܫܒܐ ܕܚܡܫܐ ܕܫܒܘܥܐ ܕܩܝܛܐ
"of the First (Day) of the Week, the Sixth, of the period of summer",ܕܚܕܒܫܒܐ ܕܫܬܐ ܕܫܒܘܥܐ ܕܩܝܛܐ܀
"of the First (Day) of the Week, the Seventh of the period of summer",ܕܚܕ ܒܫܒܐ ܕܫܒܥܐ ܕܫܒܘܥܐ ܕܩܝܛܐ.
"of the First (Day) of the Week, the First of period of Mar Elijah",ܕܚܕ ܒܫܒܐ ܩܕܡܝܐ ܕܫܒܘܥܐ ܕܡܪܝ ܐܠܝܐ܀
"of the First (Day) of the Week, the Second of the period of Mar Elijah",ܕܚܕ ܒܫܒܐ ܕܬܪܝܢ ܕܫܒܘܥܐ ܕܡܪܝ ܐܠܝܐ܀
"of the First (Day) of the Week, the Third of the period of Mar Elijah",ܕܚܕ ܒܫܒܐ ܕܬܠܬܐ ܕܫܒܘܥܐ ܕܡܪܝ ܐܠܝܐ܀
of the Feast of the Finding of Mar Cross,ܕܥܐܕܐ ܕܫܟܚܬܗ ܕܡܪܝ(!) ܨܠܝܒܐ܀
"of the First (Day) of the Week, the First after the Finding, and the Fourth of Elijah",ܕܚܕ ܒܫܒܐ ܩܕܡܝܐ ܕܒܬܪ ܫܟܚܬܐ ܘܕܐܪܒܥܐ ܕܐܠܝܐ
"of the First (Day) of the Week, the Second,  after the Finding; and of the Passion of Elijah",ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܒܬܪ ܫܟܚܬܐ܀ ܘܕܚܫܐ ܕܐܠܝܐ.
"of the First (Day) of the Week, the Third after the Finding, and the Sixth of Elijah",ܕܚܕ ܒܫܒܐ ܕܬܠܬܐ ܕܒܬܪ ܫܟܚܬܐ. ܘܕܫܬܐ ܕܐܠܝܐ܀
"of the First (Day) of the Week, the Fourth of the Finding, and the end of the period of Elijah",ܕܚܕ ܒܫܒܐ ܕܐܪܒܥܐ ܕܫܟܚܬܐ܀ ܘܫܘܠܡ ܫܒܘܥܐ ܕܐܠܝܐ
"of the First (Day) of the Week, the First of period of Mar Moses",ܕܚܕ ܒܫܒܐ ܩܕܡܝܐ ܕܫܒܘܥܐ ܕܡܪܝ ܡܘܫܐ
"of the First (Day) of the Week, the Second of the period of Mar Moses",ܕܚܕ ܒܫܒܐ ܕܬܪܝܢ ܕܫܒܘܥܐ ܕܡܪܝ ܡܘܫܐ
"of the First (Day) of the Week, the Third of Mar Moses",ܕܚܕ ܒܫܒܐ ܕܬܠܬܐ ܕܡܪܝ ܡܘܫܐ܀
"of the First (Day) of the Week, the Fourth of Mar Moses",ܕܚܕ ܒܫܒܐ ܕܐܪܒܥܐ ܕܡܪܝ ܡܘܫܐ܀
"of the First (Day) of the Week, the Fifth of Mar Moses",ܕܚܕ ܒܫܒܐ ܕܚܡܫܐ ܕܡܪܝ ܡܘܫܐ܀
"of the First (Day) of the Week, the Sixth of Mar Moses",ܕܚܕ ܒܫܒܐ ܕܫܬܐ ܕܡܪܝ ܡܘܫܐ܀
"of the First (Day) of the Week, the First of the Consecration of the Church",ܕܚܕ ܒܫܒܐ ܩܕܡܝܐ ܕܩܘܕܫ ܥܕܬܐ܀
"of the First (Day) of the Week, the Second of the Consecretion of the Church",ܕܚܕ ܒܫܒܐ ܕܬܪܝܢ ܕܩܘܕܫ ܥܕܬܐ܀
"of the First (Day) of the Week, the Third of the Consecration of the Church",ܕܚܕ ܒܫܒܐ ܕܬܠܬܐ ܕܩܘܕܫ ܥܕܬܐ܀
"Another, of the Deacons",ܐܚܪܢܐ ܕܡ̈ܫܡܫܢܐ
Reading of the revelation of our Lord on Mount Tabor,ܩܪܝܢܐ ܕܓܠܝܢܗ ܕܡܪܢ ܕܥܠ ܛܘܪ ܬܒܘܪ
Readings of the Annunciation of Zechariah,ܩܪ̈ܝܢܐ ܕܣܘܒܪܗ ܕܙܟܪܝܐ
of the Annunciation of Mary the God-Bearer,ܕܣܘܒܪܗ ܕܝ̇ܠܕܬ̇ ܐܠܗܐ ܡܪܝܡ
of the Annunciation of Mary the God-Bearer,ܕܣܘܒܪܗ ܕܝܠܕܬ ܐܠܗܐ ܡܪܝܡ
of the Journey,ܕܡܐܙܠܬܐ
of John […],[...] ܕܝܘܚܢܢ
the Order of the Feast of Bearer of the Saviour,ܛܟܣܐ ܕܥܐܕܐ ܕܝܠܕܬ ܦܪܘܩܝܐ
the Commemoration of Mary the God-Bearer,ܕܘܟܪܢܐ ܕܝ̇ܠܕܬ̇ ܐܠܗܐ ܡܪܝܡ
[of] the murder of the Infants,[ܕ؟]ܩܛܠܐ ܕܝܠܘ̈ܕܐ
Readings of the Circumcision,ܩܪ̈ܝܢܐ ܕܓܙܘܪܬܐ
"Readings of the Blessing of the Water, and of the Manifestation",ܩܪ̈ܝܢܐ ܕܒܪܘܟ ܡ̈ܝܐ ܘܕܒܝܬ ܕܢܚܐ
Of the cutting of the head of John,ܕܦܣܩ ܪܝܫܗ ܕܝܘܚܢܢ
on Saint Stephen,ܕܥܠ ܩܕܝܫܐ ܏ܐܣܛܦܝ
"Readings of the First (Day) of the Week, the First after the Manifestation",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܏ܩܕܡ ܕܒܬܪ ܕܢܚܐ
"the First (Day) of the Week, the 2nd, after the Manifestation",ܚ܏ܕܒܫ ܏ܕܒ ܕܒܬܪ ܕܢܚܐ
"of First (Day) of the Week, the 3rd, after the Manifestation",ܕܚܕ ܒܫܒܐ ܕ܏ܓ ܕܒܬܪ ܕܢܚܐ
"of the First (Day) of the Week, the 4th, after the Manifestation",[ܕܚܕ ܒܫܒܐ؟] ܕ܏ܕ ܕܒܬܪ ܕܢܚܐ
"[..] the 4th, of the Manifestation",[؟] ܕ܏ܕ ܕܒܬܪ ܕܢܚܐ
"Furthermore, the Order of the First (Day) of the Week, of the Entry of our Lord in the Temple",ܬܘܒ ܩܪ̈ܝܢܐ ܕܡܥܠܬ(؟) ܕܡܪܢ ܠܗܝܟܠܐ
the Order of the Second two of the Week of Nineveh,ܛܟܣܐ ܕܝܘܡ ܬܪ̈ܝܢ ܕܫܒܬܐ ܕܢܝܢܘ[.]
"of Day four, of Nineveh",ܕܝܘܡ ܐܪܒܥܐ ܕܢܝܢܘܐ
[…],[...]
"Furthermore, the Order of the First (Day) of the Week, of the Departed",ܬܘܒ ܛܟܣܐ ܕܚܕܒܫܒܐ ܕܥܢ̈ܝܕܐ
"Furthermore, the Order of the First (Day) of the Week, of summer; and of the Beginning of the Fast",ܬܘܒ ܛܟܣܐ ܕܚܕܒ̈ܫܒܐ ܕܩܛܝܐ(!) ܘܕܡ̈ܥܠܝ ܨܘܡܐ [..]
"the Third Day of the Week, of the First Week of the Fast, First",ܝܘܡ ܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܏ܩܕܡ ܕܨܘܡܐ ܩܕ
of Day four of the First Week of the Fast,ܕܝܘܡ ܐܪܒܥܐ ܕܫܒܬܐ ܏ܩܕܡ ܕܨܘܡܐ
"of Day Five, of the First Week of the Fast, Readings",ܕܝܘܡ ܚܡܫܐ ܕܫܒܬܐ ܏ܩܕܡ ܕܨܘܡܐ ܏ܩܕ
"of the Day of Sabbath, the First of the Fast",ܕܝܘܡ ܫܒܬܐ ܏ܩܕܡ ܕܨܘܡܐ
"of the First (Day) of the Week, the Fourth of the Fast",ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܨܘܡܐ
"Readings, of the First (Day) of the Week, the Fifth, of the Fast",ܩܪܝܢܐ ܕܚܕܒܫܒܐ ܚܡܝܫܝܐ ܕܨܘܡܐ
"Readings, of the Offering, of the forthy",ܩܪ̈ܝܢܐ ܕܩܘܪܒܢܐ ܕܐܪ̈ܒܥܝܢ
of the wakening of Lazarus,ܕܢܘܚܡܗ ܕܠܥܙܪ
Readings of the Passion of the Saviour,ܩܪ̈ܝܢܐ ܕܚܫܐ ܦܪܘܩܝܐ
"of Day three, of Passion",ܕܝܘܡ ܬܠܬܐ ܕܚܫܐ
"of Day four, of Passion",ܕܝܘܡ ܐܪܒܥܐ ܕܚܫܐ
"Readings of Fifth Day of the Week, of Mystery",ܩܪܝܢܐ ܕܝܘܡ ܚܡܫܐ ܕܐܪܙܐ
"Readings of the Day of the Eve of Preparation, of the Crucifixion",ܩܪ̈ܝܢܐ ܕܝܘܡ ܥܪܘܒܬܐ ܕܙܩܝܦܘܬܐ
of the Adoration of the Cross,ܕܣܓܕܬܐ ܕܨܠܝܒܐ
of the Day of the Sabbath of the Gospel,ܕܝܘܡ ܫܒܬܐ ܕܣܒܪܬܐ
"Readings of the First (Day) of the Week, the Second, after the Resurrection; and of Day two of the Whites",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܒܬܪ ܩܝܡܬܐ ܘܕܝܘܡ ܬܪܝܢ ܕܚܘܪ̈ܐ
"of the First (Day) of the Week, the 3rd, after the Resurrection; and the 3rd of the Whites",ܕܚܕܒܫܒܐ ܕ܏ܓ ܕܒܬܪ ܩܝܡܬܐ ܏ܘܓ ܕܚܘܪ̈ܐ
"of the First (Day) of the Week, the 4th, after Resurrection; and of the Fourth (Day) of the Week of the Whites",ܕܚܕܒܫܒܐ ܏ܕܕ ܕܒܬܪ ܩܝܡܬܐ ܘܕܐܪܒܥܐ ܕܫܒܬܐ ܕܚܘܪ̈ܐ
"of the First (Day) of the Week, the Fifth, after the Resurrection; and the First (Day) of the Week, of the Whites",ܕܚܕܒܫܒܐ ܕܚܡܫܐ ܕܒܬܪ ܩܝܡܬܐ ܘܕܚܡܫܐ ܕܚܘܪ̈ܐ
"of the First (Day) of the Week, the Sixth, and the Eve of Preparation; and of the Whites",ܕܚܕܒܫܒܐ ܕܫܬܐ ܘܕܥܪܘܒܬܐ [ܘ]ܕܚܘܪ̈ܐ
"of the First (Day) of the Week, the Seventh, after the Resurrection; and of the Seventh Day of the Whites",ܕܚܕܒܫܒܐ ܕܫܒܥܐ ܕܒܬܪ ܩܝܡܬܐ ܘܕܝܘܡ ܫܒܬܐ ܕܚܘܪ̈ܐ
[...] after the Resurrection and of the New First (Day) of the Week,[..] ܕܒܬܪ ܩܝܡܬܐ ܘܕܚܕܒܫܒܐ ܚܕܬܐ
"Furthermore, of the First (Day) of the Week, the First, after the New First (Day) of the Week",ܬܘܒ ܕܚܕܒܫܒܐ ܏ܩܕܡ ܕܒܬܪ ܚܕܒܫܒܐ ܚܕܬܐ
"[...] the Third (Day) […] of the Week, after [...]",[..] ܒܫܒܐ ܕ܏ܓ ܕܒܬܪ [..]
"of the First (Day) of the Week, the 4th, after Pentecost",ܕܚ܏ܕܒܫ ܕ܏ܕ ܕܒܬܪ ܦܢܝܛ܏ܩܣ
"Furthermore, of the First (Day) of the Week, the 5th, after",ܬܘܒ ܕܚ܏ܕܒܫ ܕ܏ܗ ܕܒܬܪ [..]
"of the First (Day) of the Week, the 6th, after the New",ܕܚܕܒܫܒܐ ܕ܏ܘ ܕܒܬܪ ܚܕܬܐ
"of the First (Day) of the Week, the 7th, after Pentecost",ܕܚܕܒܫܒܐ ܕ܏ܙ ܕܒܬܪ ܏ܦܢܛ
"of the First (Day) of the Week, the 8th, after (...)",ܕܚܕܒܫܒܐ ܕ܏ܚ ܕܒܬܪ [..]
"Furthermore, the Readings of (Day) one of the Week, of Pentecost, that is to say the coming of the Holy Spirit",ܬܘܒ ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܦܢܛܝܩܘܣܛܝ ܐܘܟܝܬ ܡܝܬܬܐ ܕܪܘܚܐ ܩܕܝܫܐ
Readings of the Apostles,ܩܪ̈ܝܢܐ ܕܫ̈ܠܝܚܐ
Readings of the Assumption of Mary the God-Bearer,ܩܪ̈ܝܢܐ ܕܫܘܢܝܗ̇ ܕܝܠܕܬ ܐܠܗܐ ܡܪܝܡ
Readings of the Feast of the Holy Cross,ܩܪ̈ܝܢܐ ܕܥܐܕܐ ܕܨܠܝܒܐ ܩܕܝܫܐ
Readings of the Martyrs and the Fathers,ܩܪ̈ܝܢܐ ܕܣ̈ܗܕܐ ܘܕܐ̈ܒܗܬܐ
"Furthermore, we write the Order of the Readings of the First (Day) of the Week, after the Feast of the Cross",ܬܘܒ ܟܬܒܝܢܢ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܒܬܪ ܥܐܕܐ ܕܨܠܝܒܐ
"Furthermore, the First (Day) of the Week,  the Second, after the Feast of the Cross",ܬܘܒ ܚܕܒܫܒܐ ܕܬܪܝܢ ܕܒܬܪ ܥܐܕܐ ܕܨܠܝܒܐ
"of the First (Day) of the Week, the 3rd, after the Feast of the Holy Cross",ܕܚܕܒܫܒܐ ܕ܏ܓ ܕܒܬܪ ܥܐܕܐ ܕܨܠܝܒܐ ܩܕܝܫܐ
"of the First (Day) of the Week, the Fourth after Feast of the Cross",ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܒܬܪ ܥܐܕܐ ܕܨܠܝܒܐ
"of the First (Day) of the Week, the Fourth, after Feast of the Cross",ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܒܬܪ ܥܐܕܐ ܕܨܠܝܒܐ
"of the First (Day) of the Week, the Fifth, after the Feast of the Cross",ܕܚܕܒܫܒܐ ܕܚܡܫܐ ܕܒܬܪ ܥܐܕܐ ܕܨܠܝܒܐ
"of the First (Day) of the Week, the 6th, after the Feast of the Cross",ܕܚܕܒܫܒܐ ܕ܏ܘ ܕܒܬܪ ܥܐܕܐ ܕܨܠܝܒܐ
"of the First (Day) of the Week, the 7th, after the Feast of the Holy Cross",ܕܚܕܒܫܒܐ ܕ܏ܙ ܕܒܬܪ ܥܐܕܐ ܕܨܠܝܒܐ ܩܕܝܫܐ
"First, on a Bishop",ܩܕܡܝܬ. ܥܠ ܐܦܣܩܘܦܐ܀
of the Renewal of the Temple,ܕܚܘ̣ܕܬ ܥܕܬܐ:
"of the Annunciation of Zechariah, Readings", ܕܣܘ̣ܒܪܗ ܕܙܟܪܝܐ ܩܪܝ̇ܢܐ
"of the Annunciation of Mary the God-Bearer, Readings",ܕܣܘ̣ܒܪܗ̇ ܕܝ̇ܠܕܬ̇ ܐܠܗܐ ܩܪ̈ܝܢܐ
"of the Journey of Mary towards Elizabeth, Readings",ܕܡܐ̣ܙܠܬܗ̇ ܕܡܪܝܡ ܨܝܕ ܐܠܝܫܒܥ ܩܪ̈ܝܢܐ
of the Begetting of John the Baptist,ܕܡܲܘܡܕܗ ܕܝܘܚܢܢ ܡܲܥܡܕܢܐ
of the Begetting of John the Baptist,ܕܡܲܘܠܕܗ ܕܝܘܚܢܢ ܡܲܥܡܕܢܐ
of the revelation of Joseph,ܕܓܠܝܢܗ ܕܝܘܣܦ
"of the First (Day) of the Week, before the Birth, Readings",ܕܚܕܒܫܒܐ ܕܩܕܡ ܝܠ̣ܕܐ ܩܪ̈ܝܢܐ
"of the Holy Feast of the Birth of our Lord in Flesh, Readings",ܕܥܐܕܐ ܩܕܝܫܐ ܕܝܠ̣ܕܗ ܕܡܪܢ ܕܒܒܣܪ ܩܪ̈ܝܢܐ
for the Commemoration of the God-Bearer,ܒܕܘܟܪܢܗ ܕܝ̇ܠܕܬ ܐܠܗܐ
"of the murder of the Infants, Readings",ܕܩܛܠܐ ܕܝ̈ܠܘܕܐ ܩܪܝܢܐ
"of the First (Day) of the Week, after the Birth, Reading",ܕܚܕܒܫܒܐ ܕܒܬܪ ܝܠܕܐ ܩܪܝܢܐ
of the Circumcision of Our Lord,ܕܓܙܘܪܬܗ ܕܡܪܢ
"of the Night of the Manifestation, of the Blessing of the Water, Reading",ܕܠܠܝܐ ܕܕܢܚ̣ܐ ܕܒܪܘܟ ܡ̈ܝܐ ܩܪ̈ܝܢܐ
"of the Holy Feast of the Manifestation of our Lord, Readings",ܕܥܐܕܐ ܩܕܝܫܐ ܕܕܢܚ̣ܗ ܕܡܪܢ ܩܪ̈ܝܢܐ
of the Commemoration of John the Bapstist,ܕܕܘܟܪܢܗ ܕܝܘܚܢܢ ܡܲܥܡܕܢܐ
"of the Commemoration of Mar Stephen the First of the deacons, the First of the Martyrs",ܕܕܘܟܪܢܗ ܕܡܪܝ ܐܣܛܦܢܐܘܣ ܪܝܫܐ ܕܡܫܡ̈ܫܢܐ ܣܗܕܐ ܒܟܪܐ
"of the First (Day) of the Week, the First, after the Manifestation",ܕܚܕܒܫܒܐ ܩܕܡܝܐ ܕܒܬܪ ܕܢܚ̣ܐ
"of the First (Day) of the Week, the Third, after the Manifestation",ܕܚܕܒܫܒܐ ܕܬܠ̈ܬܐ ܕܒܬܪ ܕܢܚ̣ܐ
"of the First (Day) of the Week, the Fourth after rest",ܕܚܕܒܫܒܐ ܕܐܪ̈ܒܥܐ ܕܒܬܪ ܕܢ̣ܚܐ
"the Entry of our Lord in the Temple, Readings",ܕܡܥܠܬܗ ܕܡܪܢ ܠܗܝܲܟܠܐ ܩܪ̈ܝܢܐ
"for the Commemoration of Mar Barṣauma and his just and illustrious Holy men, Readings",ܒܕܘܟܪܢܐ ܕܡܪܝ ܒܪܨܘܡܐ ܘܕܩ̈ܕܝܫܐ ܛܒܝ̈ܒܐ ܟܢ̈ܘܬܗ ܩܪ̈ܝܢܐ
"for the Commemoration of Mar Severus and all the Teachers, Readings",ܒܕܘܟܪܢܐ ܕܡܪܝ ܣܐܘܝܪܐ ܘܕܟܠܗܘܢ ܡ̈ܠܦܢܐ ܩܪ̈ܝܢܐ
"of the First (Day) of the Week, of the Just, the Priests, and the Holy Fathers, which is called the watch of the brothers",ܕܚܕܒܫܒܐ ܕܕܘܟܪܢܐ ܕܟ̈ܐܢܐ ܘܕܟ̈ܗܢܐ ܘܕܐܒ̈ܗܬܐ ܩܕ̈ܝܫܐ ܫܗܪܐ ܕܐܚ̈ܐ
"of the First (Day) of the Week, of the Commemoration of Departed Believers",ܕܚܕܒܫܒܐ ܕܕܘܟܪܢܐ ܕܥ̈ܢܝܕܐ ܡܗܝ̈ܡܢܐ
"of the First (Day) of the Week, of the Beginning of the Holy Fast of the forthy",ܕܚܕܒܫܒܐ ܕܡܲܥܠܝ ܨܘܡܐ ܩܕܝܫܐ ܕܐܪ̈ܒܥܝܢ
"of the Second Day of the Week, of the Reception of the Fast",ܕܝܘܡ ܬܪ̈ܝܢ ܒܫܒܐ ܕܩܘ̣ܒܠ ܨܘܡܐ
"of the Third Day, the First of the Holy Fast",ܕܝܘܡ ܬܠ̈ܬܐ ܩܕܡܝܐ ܕܨܘܡܐ ܩܕܝܫܐ
"of the Fourth (Day) of the Week, of the First Week of the Fast",ܕܝܘܡ ܐܪ̈ܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ
"of the Fifth (Day) of the Week, of the First Week of the Holy Fast of the forthy",ܕܚ̈ܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ ܩܕܝܫܐ ܕܐܪ̈ܒܥܝܢ
"of the Day of the First Eve of Preparation, of the Holy Fast",ܕܝܘܡ ܥܪܘܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ ܩܕܝܫܐ
"of the Day of Sabbath, the First of the Fast",ܕܝܘܡ ܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ
"of the First (Day) of the Week, the Second, of the Holy Fast",ܕܚܕܒܫܒܐ ܕܬܪ̈ܝܢ ܕܨܘܡܐ ܩܕܝܫܐ
"of the First (Day) of the Week, the Third, of the Holy Fast",ܕܚܕܒܫܒܐ ܬܠܝܬܝܐ (ܕܨܘܡܐ) ܩܕܝܫܐ
"of the First (Day) of the Week, the Fourth of the Holy Fast of the forthy",ܕܚܕܒܫܒܐ ܕܐܪ̈ܒܥܐ ܕܨܘܡܐ ܩܕܝܫܐ ܕܐܪ̈ܒܥܝܢ
"of the First (Day) of the Week, the Fourth, of the Holy Fast of the forthy",ܕܚܕܒܫܒܐ ܕܐܪ̈ܒܥܐ ܕܨܘܡܐ ܩܕܝܫܐ ܕܐܪ̈ܒܥܝܢ
"of the First (Day) of the Week, the Fourth, of the Consecration of the Church",ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܩܘܕܫܥܕܬܐ
"of the First (Day) of the Week, the Fifth, of the Holy Fast",ܕܚܕܒܫܒܐ ܕܚ̈ܡܫܐ ܕܨܘܡܐ ܩܕܝܫܐ
"of the First (Day) of the Week, the Sixth, of the Holy Fast of the forthy",ܕܚܕܒܫܒܐ ܕܫ̈ܬܐ ܕܨܘܡܐ ܩܕܝܫܐ ܕܐܪ̈ܒܥܝܢ
of the Commemoration of the forthy Martyrs who were Martyred in Sebaste,ܕܕܘܟܪܢܐ ܕܐܪ̈ܒܥܝܢ ܣܗ̈ܕܐ ܕܐܣܗܕܘ ܒܣ̣ܒܣܛܝܐ
the Commemoration of the Eve of Preparation,ܕܘܟ[ܢ]ܪܢܐ ܕܥܪܘܒܬܐ ܕܐܪ̈ܒܥܝܢ
"the Order of the Readings on the Holy and Great First (Day) of the Week, of the Hosannas",ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܥܠ ܚܕܒܫܒܐ ܩܕܝܫܐ ܘܪܒܐ ܕܐܘܫ̈ܥܢܐ
"Readings of First Day of the Week in it is celebrated the Commemoration of Departed Believers in General, First",ܩܪ̈ܝܢܐ ܕܝܘܡ ܚܲܕܒܫܲܒܐ ܕܡܫܬܡܠܐ ܒܗ ܕܘܟܪܢܐ ܕܥܢܝ̈ܕܐ ܡ̈܏ܗܝܡ ܓܘܢܐܝܬ ܏ܩܕ
"the Third (Day), of Passion",ܕܬܠܬܐ ܕܚܲܫܐ
"of the Fourth (Day) of the Week, of Passion",ܕܐܪ̈ܒܥܐ ܒܫ̇ܒܐ ܕܚܫܐ
"of the Fourth (Day) of the Week, (..) of Passion",ܕܐܪ̈ܒܥܐ ܒܫ̇ܒܐ [..] ܕܚܫܐ
"of the Fifth (Day) of the Week, of the Mystery",ܕܚ̈ܫܡܐ ܒܫܒܐ ܕܪܐܙܐ
"The Offering of the Fifth (Day), of the Mystery",ܩܘܪܒܐ ܕܚ̈ܡܫܐ ܕܪܐܙܐ
"of the First Station of the Night of the Great Eve of Preparation, of the Crucifixion",ܕܩܘܡܐ ܩܕܡܝܐ ܕܠܠܝܐ ܕܥܪܘܒܬܐ ܪܒܬܐ ܕܙܩܝ̣ܦܘܬܐ
