"The book of the genealogy of Jesus Christ , the son of David, the son of Abraham.",ܟܬܒܐ ܕܝܠܝܕܘܬܗ ܕܝܫܘܥ ܡܫܝܚܐ ܒܪܗ ܕܕܘܝܕ ܒܪܗ ܕܐܒܪܗܡ
I marvel that ye are so soon removed from him that called you into the grace of Christ unto another gospel:,ܡܬܕܡܪ ܐܢܐ ܐܝܟܢܐ ܒܥܓܠ ܡܬܗܦܟܝܢ ܐܢܬܘܢ ܡܢ ܡܫܝܚܐ ܗܘ ܕܩܪܟܘܢ ܒܛܝܒܘܬܗ ܠܐܚܪܬܐ ܤܒܪܬܐ
"Which is not another; but there be some that trouble you, and would pervert the gospel of Christ.",ܐܝܕܐ ܕܠܐ ܐܝܬܝܗ ܐܠܐ ܐܢܫܐ ܗܘ ܐܝܬ ܕܕܠܚܝܢ ܠܟܘܢ ܘܨܒܝܢ ܕܢܫܚܠܦܘܢ ܤܒܪܬܗ ܕܡܫܝܚܐ
"But though we, or an angel from heaven, preach any other gospel unto you than that which we have preached unto you, let him be accursed.",ܐܦ ܐܢ ܚܢܢ ܕܝܢ ܐܘ ܡܠܐܟܐ ܡܢ ܫܡܝܐ ܢܤܒܪܟܘܢ ܠܒܪ ܡܢ ܡܐ ܕܤܒܪܢܟܘܢ ܢܗܘܐ ܚܪܡ
"As we said before, so say I now again, If any man preach any other gospel unto you than that ye have received, let him be accursed.",ܐܝܟܢܐ ܕܡܢ ܠܘܩܕܡ ܐܡܪܬ ܘܗܫܐ ܬܘܒ ܐܡܪ ܐܢܐ ܕܐܢ ܐܢܫ ܡܤܒܪ ܠܟܘܢ ܠܒܪ ܡܢ ܡܐ ܕܩܒܠܬܘܢ ܢܗܘܐ ܚܪܡ
"For do I now persuade men, or God? or do I seek to please men? for if I yet pleased men, I should not be the servant of Christ.",ܗܫܐ ܓܝܪ ܠܒܢܝܢܫܐ ܗܘ ܡܦܝܤ ܐܢܐ ܐܘ ܠܐܠܗܐ ܐܘ ܠܒܢܝܢܫܐ ܒܥܐ ܐܢܐ ܕܐܫܦܪ ܐܠܘ ܓܝܪ ܥܕܡܐ ܠܗܫܐ ܠܒܢܝܢܫܐ ܫܦܪ ܗܘܝܬ ܥܒܕܐ ܕܡܫܝܚܐ ܠܐ ܗܘܐ ܗܘܝܬ
"But I certify you, brethren, that the gospel which was preached of me is not after man.",ܡܘܕܥ ܐܢܐ ܠܟܘܢ ܕܝܢ ܐܚܝ ܕܤܒܪܬܐ ܕܐܤܬܒܪܬ ܡܢܝ ܠܐ ܗܘܬ ܡܢ ܒܪܢܫܐ
"For I neither received it of man, neither was I taught it, but by the revelation of Jesus Christ.",ܐܦܠܐ ܓܝܪ ܐܢܐ ܡܢ ܒܪܢܫܐ ܩܒܠܬܗ ܘܝܠܦܬܗ ܐܠܐ ܒܓܠܝܢܐ ܕܝܫܘܥ ܡܫܝܚܐ
"For ye have heard of my conversation in time past in the Jews' religion, how that beyond measure I persecuted the church of God, and wasted it:",ܫܡܥܬܘܢ ܓܝܪ ܗܘܦܟܝ ܕܡܢ ܩܕܝܡ ܕܒܝܗܘܕܝܘܬܐ ܕܝܬܝܪܐܝܬ ܪܕܦ ܗܘܝܬ ܥܕܬܗ ܕܐܠܗܐ ܘܚܪܒ ܗܘܝܬ ܠܗ
"And profited in the Jews' religion above many my equals in mine own nation, being more exceedingly zealous of the traditions of my fathers.",ܘܡܬܝܬܪ ܗܘܝܬ ܒܝܗܘܕܝܘܬܐ ܛܒ ܡܢ ܤܓܝܐܐ ܒܢܝ ܫܢܝ ܕܐܝܬ ܗܘܐ ܒܛܘܗܡܝ ܘܝܬܝܪܐܝܬ ܛܐܢ ܗܘܝܬ ܒܝܘܠܦܢܐ ܕܐܒܗܝ
"But when it pleased God, who separated me from my mother's womb, and called me by his grace,",ܟܕ ܨܒܐ ܕܝܢ ܗܘ ܡܢ ܕܦܪܫܢܝ ܡܢ ܟܪܤ ܐܡܝ ܘܩܪܢܝ ܒܛܝܒܘܬܗ
"To reveal his Son in me, that I might preach him among the heathen; immediately I conferred not with flesh and blood:",ܕܢܓܠܐ ܒܪܗ ܒܝ ܕܐܤܒܪܝܘܗܝ ܒܥܡܡܐ ܒܪ ܫܥܬܗ ܠܐ ܓܠܝܬ ܠܒܤܪܐ ܘܠܕܡܐ
"Neither went I up to Jerusalem to them which were apostles before me; but I went into Arabia, and returned again unto Damascus.",ܘܠܐ ܐܙܠܬ ܠܐܘܪܫܠܡ ܠܘܬ ܫܠܝܚܐ ܕܡܢ ܩܕܡܝ ܐܠܐ ܐܙܠܬ ܠܐܪܒܝܐ ܘܬܘܒ ܗܦܟܬ ܠܕܪܡܤܘܩ
"Then after three years I went up to Jerusalem to see Peter, and abode with him fifteen days.",ܘܡܢ ܒܬܪ ܬܠܬ ܫܢܝܢ ܐܙܠܬ ܠܐܘܪܫܠܡ ܕܐܚܙܐ ܠܟܐܦܐ ܘܩܘܝܬ ܠܘܬܗ ܝܘܡܬܐ ܚܡܫܬܥܤܪ
"But other of the apostles saw I none, save James the Lord's brother.",ܠܐܚܪܝܢ ܕܝܢ ܡܢ ܫܠܝܚܐ ܠܐ ܚܙܝܬ ܐܠܐ ܐܢ ܠܝܥܩܘܒ ܐܚܘܗܝ ܕܡܪܢ
"Now the things which I write unto you, behold, before God, I lie not.",ܗܠܝܢ ܕܝܢ ܕܟܬܒ ܐܢܐ ܠܟܘܢ ܗܐ ܩܕܡ ܐܠܗܐ ܕܠܐ ܡܟܕܒ ܐܢܐ
Afterwards I came into the regions of Syria and Cilicia;,ܡܢ ܒܬܪ ܗܠܝܢ ܐܬܝܬ ܠܐܬܪܘܬܐ ܕܤܘܪܝܐ ܘܕܩܝܠܝܩܝܐ
And was unknown by face unto the churches of Judaea which were in Christ:,ܘܠܐ ܝܕܥܢ ܗܘܝ ܠܝ ܒܐܦܝܢ ܥܕܬܐ ܕܒܝܗܘܕ ܗܠܝܢ ܕܒܡܫܝܚܐ
"But they had heard only, That he which persecuted us in times past now preacheth the faith which once he destroyed.",ܐܠܐ ܗܕܐ ܒܠܚܘܕ ܫܡܥܝܢ ܗܘܘ ܕܗܘ ܕܡܢ ܩܕܝܡ ܪܕܦ ܗܘܐ ܠܢ ܗܫܐ ܗܐ ܡܤܒܪ ܗܝܡܢܘܬܐ ܗܝ ܕܡܢ ܩܕܡ ܙܒܢܐ ܡܤܚܦ ܗܘܐ
And they glorified God in me.,ܘܡܫܒܚܝܢ ܗܘܘ ܒܝ ܠܐܠܗܐ
"Then fourteen years after I went up again to Jerusalem with Barnabas, and took Titus with me also.",ܬܘܒ ܕܝܢ ܡܢ ܒܬܪ ܐܪܒܥܤܪܐ ܫܢܝܢ ܤܠܩܬ ܠܐܘܪܫܠܡ ܥܡ ܒܪܢܒܐ ܘܕܒܪܬ ܥܡܝ ܠܛܛܘܤ
"And I went up by revelation, and communicated unto them that gospel which I preach among the Gentiles, but privately to them which were of reputation, lest by any means I should run, or had run, in vain.",ܤܠܩܬ ܕܝܢ ܒܓܠܝܢܐ ܘܓܠܝܬ ܠܗܘܢ ܤܒܪܬܐ ܕܡܟܪܙ ܐܢܐ ܒܥܡܡܐ ܘܚܘܝܬܗ ܠܐܝܠܝܢ ܕܡܤܬܒܪܝܢ ܗܘܘ ܕܡܕܡ ܐܝܬܝܗܘܢ ܒܝܢܝ ܘܠܗܘܢ ܕܡ ܤܪܝܩܐܝܬ ܪܗܛܬ ܐܘ ܪܗܛ ܐܢܐ
"But neither Titus, who was with me, being a Greek, was compelled to be circumcised:",ܐܦ ܛܛܘܤ ܕܥܡܝ ܕܐܪܡܝܐ ܗܘܐ ܠܐ ܐܬܐܢܤ ܕܢܓܙܘܪ
"And that because of false brethren unawares brought in, who came in privily to spy out our liberty which we have in Christ Jesus, that they might bring us into bondage:",ܡܛܠ ܕܝܢ ܐܚܐ ܕܓܠܐ ܕܥܠܘ ܥܠܝܢ ܕܢܓܫܘܢ ܚܐܪܘܬܐ ܕܐܝܬ ܠܢ ܒܝܫܘܥ ܡܫܝܚܐ ܐܝܟܢܐ ܕܢܫܥܒܕܘܢܢܝ
"To whom we gave place by subjection, no, not for an hour; that the truth of the gospel might continue with you.",ܐܦܠܐ ܡܠܐ ܫܥܐ ܐܬܪܡܝܢ ܠܫܘܥܒܕܗܘܢ ܕܫܪܪܗ ܕܤܒܪܬܐ ܢܩܘܐ ܠܘܬܟܘܢ
"But of these who seemed to be somewhat, (whatsoever they were, it maketh no matter to me: God accepteth no man's person:) for they who seemed to be somewhat in conference added nothing to me:",ܗܢܘܢ ܕܝܢ ܕܡܤܬܒܪܝܢ ܕܐܝܬܝܗܘܢ ܡܕܡ ܡܢ ܕܝܢ ܐܝܬܝܗܘܢ ܠܐ ܒܛܝܠ ܠܝ ܐܠܗܐ ܓܝܪ ܒܐܦܝ ܒܢܝܢܫܐ ܠܐ ܢܤܒ ܗܢܘܢ ܕܝܢ ܗܠܝܢ ܡܕܡ ܠܐ ܐܘܤܦܘ ܠܝ
"But contrariwise, when they saw that the gospel of the uncircumcision was committed unto me, as the gospel of the circumcision was unto Peter;",ܐܠܐ ܐܚܪܢܝܐܝܬ ܚܙܘ ܓܝܪ ܕܐܬܗܝܡܢܬ ܤܒܪܬܐ ܕܥܘܪܠܘܬܐ ܐܝܟ ܕܐܬܗܝܡܢ ܟܐܦܐ ܒܓܙܘܪܬܐ
"(For he that wrought effectually in Peter to the apostleship of the circumcision, the same was mighty in me toward the Gentiles:)",ܗܘ ܓܝܪ ܕܚܦܛ ܠܟܐܦܐ ܒܫܠܝܚܘܬܐ ܕܓܙܘܪܬܐ ܚܦܛ ܐܦ ܠܝ ܒܫܠܝܚܘܬܐ ܕܥܡܡܐ
"And when James, Cephas, and John, who seemed to be pillars, perceived the grace that was given unto me, they gave to me and Barnabas the right hands of fellowship; that we should go unto the heathen, and they unto the circumcision.",ܘܟܕ ܝܕܥܘ ܛܝܒܘܬܐ ܕܐܬܝܗܒܬ ܠܝ ܝܥܩܘܒ ܘܟܐܦܐ ܘܝܘܚܢܢ ܗܢܘܢ ܕܡܤܬܒܪܝܢ ܗܘܘ ܕܐܝܬܝܗܘܢ ܥܡܘܕܐ ܝܡܝܢܐ ܕܫܘܬܦܘܬܐ ܝܗܒܘ ܠܝ ܘܠܒܪܢܒܐ ܕܚܢܢ ܒܥܡܡܐ ܘܗܢܘܢ ܒܓܙܘܪܬܐ
Only they would that we should remember the poor; the same which I also was forward to do.,ܒܠܚܘܕ ܕܠܡܤܟܢܐ ܗܘܝܢ ܥܗܕܝܢܢ ܘܐܬܒܛܠ ܠܝ ܕܗܝ ܗܕܐ ܐܥܒܕܝܗ
"But when Peter was come to Antioch, I withstood him to the face, because he was to be blamed.",ܟܕ ܐܬܐ ܕܝܢ ܟܐܦܐ ܠܐܢܛܝܘܟܝ ܒܐܦܘܗܝ ܐܟܤܬܗ ܡܛܠ ܕܡܬܬܩܠܝܢ ܗܘܘ ܒܗ
"For before that certain came from James, he did eat with the Gentiles: but when they were come, he withdrew and separated himself, fearing them which were of the circumcision.",ܕܥܕܠܐ ܢܐܬܘܢ ܐܢܫܐ ܡܢ ܠܘܬ ܝܥܩܘܒ ܥܡ ܥܡܡܐ ܐܟܠ ܗܘܐ ܟܕ ܐܬܘ ܕܝܢ ܢܓܕ ܗܘܐ ܢܦܫܗ ܘܦܪܫ ܡܛܠ ܕܕܚܠ ܗܘܐ ܡܢ ܗܢܘܢ ܕܡܢ ܓܙܘܪܬܐ
And the other Jews dissembled likewise with him; insomuch that Barnabas also was carried away with their dissimulation.,ܘܐܬܪܡܝܘ ܗܘܘ ܥܡܗ ܠܗܕܐ ܐܦ ܫܪܟܐ ܕܝܗܘܕܝܐ ܗܟܢܐ ܕܐܦ ܒܪܢܒܐ ܐܬܕܒܪ ܗܘܐ ܠܡܤܒ ܒܐܦܝܗܘܢ
"But when I saw that they walked not uprightly according to the truth of the gospel, I said unto Peter before them all, If thou, being a Jew, livest after the manner of Gentiles, and not as do the Jews, why compellest thou the Gentiles to live as do the Jews?",ܘܟܕ ܚܙܝܬ ܕܠܐ ܐܙܠܝܢ ܬܪܝܨܐܝܬ ܒܫܪܪܗ ܕܐܘܢܓܠܝܘܢ ܐܡܪܬ ܠܟܐܦܐ ܠܥܝܢ ܟܠܗܘܢ ܐܢ ܐܢܬ ܕܝܗܘܕܝܐ ܐܢܬ ܐܪܡܐܝܬ ܚܝܐ ܐܢܬ ܘܠܐ ܝܗܘܕܐܝܬ ܐܝܟܢܐ ܐܠܨ ܐܢܬ ܠܥܡܡܐ ܕܝܗܘܕܐܝܬ ܢܚܘܢ
"We who are Jews by nature, and not sinners of the Gentiles,",ܚܢܢ ܓܝܪ ܕܡܢ ܟܝܢܢ ܝܗܘܕܝܐ ܚܢܢ ܘܠܐ ܗܘܝܢ ܡܢ ܥܡܡܐ ܚܛܝܐ
"Knowing that a man is not justified by the works of the law, but by the faith of Jesus Christ, even we have believed in Jesus Christ, that we might be justified by the faith of Christ, and not by the works of the law: for by the works of the law shall no flesh be justified.",ܡܛܠ ܕܝܕܥܝܢܢ ܕܠܐ ܡܙܕܕܩ ܒܪܢܫܐ ܡܢ ܥܒܕܐ ܕܢܡܘܤܐ ܐܠܐ ܒܗܝܡܢܘܬܐ ܕܝܫܘܥ ܡܫܝܚܐ ܐܦ ܚܢܢ ܒܗ ܒܝܫܘܥ ܡܫܝܚܐ ܗܝܡܢܢ ܕܡܢ ܗܝܡܢܘܬܗ ܕܡܫܝܚܐ ܢܙܕܕܩ ܘܠܐ ܡܢ ܥܒܕܐ ܕܢܡܘܤܐ ܡܛܠ ܕܡܢ ܥܒܕܐ ܕܢܡܘܤܐ ܠܐ ܡܙܕܕܩ ܟܠ ܒܤܪ
"But if, while we seek to be justified by Christ, we ourselves also are found sinners, is therefore Christ the minister of sin? God forbid.",ܐܢ ܕܝܢ ܟܕ ܒܥܝܢܢ ܕܢܙܕܕܩ ܒܡܫܝܚܐ ܐܫܬܟܚܢ ܠܢ ܐܦ ܚܢܢ ܚܛܝܐ ܡܕܝܢ ܝܫܘܥ ܡܫܝܚܐ ܡܫܡܫܢܐ ܗܘ ܕܚܛܝܬܐ ܚܤ
"For if I build again the things which I destroyed, I make myself a transgressor.",ܐܢ ܓܝܪ ܠܐܝܠܝܢ ܕܤܬܪܬ ܬܘܒ ܠܗܝܢ ܒܢܐ ܐܢܐ ܚܘܝܬ ܥܠ ܢܦܫܝ ܕܥܒܪ ܥܠ ܦܘܩܕܢܐ ܐܢܐ
"For I through the law am dead to the law, that I might live unto God.",ܐܢܐ ܓܝܪ ܒܢܡܘܤܐ ܠܢܡܘܤܐ ܡܝܬܬ ܕܠܐܠܗܐ ܐܚܐ
"I am crucified with Christ: nevertheless I live; yet not I, but Christ liveth in me: and the life which I now live in the flesh I live by the faith of the Son of God, who loved me, and gave himself for me.",ܘܥܡ ܡܫܝܚܐ ܙܩܝܦ ܐܢܐ ܘܡܟܝܠ ܠܐ ܗܘܐ ܐܢܐ ܚܝ ܐܢܐ ܐܠܐ ܚܝ ܒܝ ܡܫܝܚܐ ܘܗܢܐ ܕܗܫܐ ܚܝ ܐܢܐ ܒܒܤܪ ܒܗܝܡܢܘܬܐ ܗܘ ܕܒܪܗ ܕܐܠܗܐ ܚܝ ܐܢܐ ܗܘ ܕܐܚܒܢ ܘܝܗܒ ܢܦܫܗ ܚܠܦܝܢ
"I do not frustrate the grace of God: for if righteousness come by the law, then Christ is dead in vain.",ܠܐ ܛܠܡ ܐܢܐ ܛܝܒܘܬܗ ܕܐܠܗܐ ܐܢ ܓܝܪ ܒܝܕ ܢܡܘܤܐ ܗܝ ܙܕܝܩܘܬܐ ܡܫܝܚܐ ܡܓܢ ܡܝܬ
"O foolish Galatians, who hath bewitched you, that ye should not obey the truth, before whose eyes Jesus Christ hath been evidently set forth, crucified among you?",ܐܘ ܚܤܝܪܝ ܪܥܝܢܐ ܓܠܛܝܐ ܡܢܘ ܚܤܡ ܒܟܘܢ ܕܗܐ ܐܝܟ ܗܘ ܕܡܨܪ ܨܝܪ ܗܘܐ ܩܕܡ ܥܝܢܝܟܘܢ ܝܫܘܥ ܡܫܝܚܐ ܟܕ ܨܠܝܒ
"This only would I learn of you, Received ye the Spirit by the works of the law, or by the hearing of faith?",ܗܕܐ ܒܠܚܘܕ ܨܒܐ ܐܢܐ ܕܐܕܥ ܡܢܟܘܢ ܡܢ ܥܒܕܐ ܕܢܡܘܤܐ ܢܤܒܬܘܢ ܪܘܚܐ ܐܘ ܡܢ ܫܡܥܐ ܕܗܝܡܢܘܬܐ
"Are ye so foolish? having begun in the Spirit, are ye now made perfect by the flesh?",ܗܟܢܐ ܤܟܠܝܢ ܐܢܬܘܢ ܕܫܪܝܬܘܢ ܒܪܘܚܐ ܘܗܫܐ ܒܒܤܪ ܡܫܠܡܝܢ ܐܢܬܘܢ
Have ye suffered so many things in vain? if it be yet in vain.,ܗܠܝܢ ܟܠܗܝܢ ܐܝܩܐ ܤܝܒܪܬܘܢ ܘܐܫܬܘܦ ܕܝܢ ܐܝܩܐ
"He therefore that ministereth to you the Spirit, and worketh miracles among you, doeth he it by the works of the law, or by the hearing of faith?",ܗܘ ܗܟܝܠ ܕܝܗܒ ܒܟܘܢ ܪܘܚܐ ܘܤܥܪ ܒܟܘܢ ܚܝܠܐ ܡܢ ܥܒܕܐ ܕܢܡܘܤܐ ܐܘ ܡܢ ܫܡܥܐ ܕܗܝܡܢܘܬܐ
"Even as Abraham believed God, and it was accounted to him for righteousness.",ܐܝܟܢܐ ܕܗܝܡܢ ܐܒܪܗܡ ܠܐܠܗܐ ܘܐܬܚܫܒܬ ܠܗ ܠܙܕܝܩܘ
"Know ye therefore that they which are of faith, the same are the children of Abraham.",ܕܥܘ ܗܟܝܠ ܕܐܝܠܝܢ ܕܡܢ ܗܝܡܢܘܬܐ ܐܢܘܢ ܗܢܘܢ ܐܢܘܢ ܒܢܝܐ ܕܐܒܪܗܡ
"And the scripture, foreseeing that God would justify the heathen through faith, preached before the gospel unto Abraham, saying, In thee shall all nations be blessed.",ܡܛܠ ܓܝܪ ܕܩܕܡ ܝܕܥ ܐܠܗܐ ܕܒܗܝܡܢܘܬܐ ܗܘ ܡܙܕܕܩܝܢ ܥܡܡܐ ܩܕܡ ܤܒܪ ܠܐܒܪܗܡ ܐܝܟ ܕܐܡܪ ܟܬܒܐ ܩܕܝܫܐ ܕܒܟ ܢܬܒܪܟܘܢ ܟܠܗܘܢ ܥܡܡܐ
So then they which be of faith are blessed with faithful Abraham.,ܡܕܝܢ ܡܗܝܡܢܐ ܗܘ ܡܬܒܪܟܝܢ ܒܐܒܪܗܡ ܡܗܝܡܢܐ
"For as many as are of the works of the law are under the curse: for it is written, Cursed is every one that continueth not in all things which are written in the book of the law to do them.",ܐܝܠܝܢ ܓܝܪ ܕܡܢ ܥܒܕܐ ܐܢܘܢ ܕܢܡܘܤܐ ܬܚܝܬ ܠܘܛܬܐ ܐܢܘܢ ܟܬܝܒ ܓܝܪ ܕܠܝܛ ܗܘ ܟܠܡܢ ܕܠܐ ܢܥܒܕ ܟܠ ܕܟܬܝܒ ܒܢܡܘܤܐ ܗܢܐ
"But that no man is justified by the law in the sight of God, it is evident: for, The just shall live by faith.",ܕܠܐ ܕܝܢ ܡܙܕܕܩ ܐܢܫ ܒܢܡܘܤܐ ܠܘܬ ܐܠܗܐ ܗܕܐ ܓܠܝܐ ܗܝ ܡܛܠ ܕܟܬܝܒ ܕܙܕܝܩܐ ܒܗܝܡܢܘܬܐ ܢܚܐ
"And the law is not of faith: but, The man that doeth them shall live in them.",ܢܡܘܤܐ ܕܝܢ ܠܐ ܗܘܐ ܡܢ ܗܝܡܢܘܬܐ ܐܠܐ ܡܢ ܕܢܥܒܕ ܐܝܠܝܢ ܕܟܬܝܒܢ ܒܗ ܢܚܐ ܒܗܝܢ
"Christ hath redeemed us from the curse of the law, being made a curse for us: for it is written, Cursed is every one that hangeth on a tree:",ܠܢ ܕܝܢ ܡܫܝܚܐ ܙܒܢܢ ܡܢ ܠܘܛܬܐ ܕܢܡܘܤܐ ܘܗܘ ܗܘܐ ܚܠܦܝܢ ܠܘܛܬܐ ܟܬܝܒ ܓܝܪ ܕܠܝܛ ܗܘ ܟܠܡܢ ܕܡܬܬܠܐ ܒܩܝܤܐ
That the blessing of Abraham might come on the Gentiles through Jesus Christ; that we might receive the promise of the Spirit through faith.,ܕܒܥܡܡܐ ܬܗܘܐ ܒܘܪܟܬܗ ܕܐܒܪܗܡ ܒܝܫܘܥ ܡܫܝܚܐ ܘܚܢܢ ܢܤܒ ܫܘܘܕܝܐ ܕܪܘܚܐ ܒܗܝܡܢܘܬܐ
"Brethren, I speak after the manner of men; Though it be but a man's covenant, yet if it be confirmed, no man disannulleth, or addeth thereto.",ܐܚܝ ܐܝܟ ܕܒܝܬ ܒܢܝܢܫܐ ܐܡܪ ܐܢܐ ܕܕܝܬܩܐ ܕܒܪܢܫܐ ܕܐܫܬܪܪܬ ܐܢܫ ܠܐ ܡܤܠܐ ܐܘ ܡܫܚܠܦ ܒܗ ܡܕܡ
"Now to Abraham and his seed were the promises made. He saith not, And to seeds, as of many; but as of one, And to thy seed, which is Christ.",ܠܐܒܪܗܡ ܕܝܢ ܐܬܡܠܟ ܡܘܠܟܢܐ ܘܠܙܪܥܗ ܘܠܐ ܐܡܪ ܠܗ ܕܠܙܪܥܝܟ ܐܝܟ ܕܠܤܓܝܐܐ ܐܠܐ ܠܙܪܥܟ ܐܝܟ ܕܠܚܕ ܗܘ ܕܐܝܬܘܗܝ ܡܫܝܚܐ
"And this I say, that the covenant, that was confirmed before of God in Christ, the law, which was four hundred and thirty years after, cannot disannul, that it should make the promise of none effect.",ܗܕܐ ܕܝܢ ܐܡܪ ܐܢܐ ܕܕܝܬܩܐ ܕܡܢ ܩܕܝܡ ܐܫܬܪܪܬ ܡܢ ܐܠܗܐ ܒܡܫܝܚܐ ܢܡܘܤܐ ܗܘ ܕܗܘܐ ܡܢ ܒܬܪ ܐܪܒܥ ܡܐܐ ܘܬܠܬܝܢ ܫܢܝܢ ܠܐ ܡܫܟܚ ܕܢܤܠܝܗ ܘܢܒܛܠ ܡܘܠܟܢܐ
"For if the inheritance be of the law, it is no more of promise: but God gave it to Abraham by promise.",ܐܢ ܕܝܢ ܡܢ ܢܡܘܤܐ ܗܝ ܝܪܬܘܬܐ ܡܟܝܠ ܠܐ ܗܘܬ ܡܢ ܡܘܠܟܢܐ ܠܐܒܪܗܡ ܕܝܢ ܒܡܘܠܟܢܐ ܗܘ ܝܗܒ ܠܗ ܐܠܗܐ
"Wherefore then serveth the law? It was added because of transgressions, till the seed should come to whom the promise was made; and it was ordained by angels in the hand of a mediator.",ܡܢܐ ܗܟܝܠ ܢܡܘܤܐ ܡܛܠ ܡܤܛܝܢܘܬܐ ܐܬܬܘܤܦ ܥܕܡܐ ܕܢܐܬܐ ܙܪܥܐ ܗܘ ܕܠܗ ܗܘܐ ܫܘܘܕܝܐ ܘܐܬܝܗܒ ܗܘ ܢܡܘܤܐ ܒܝܕ ܡܠܐܟܐ ܒܐܝܕܐ ܕܡܨܥܝܐ
"Now a mediator is not a mediator of one, but God is one.",ܡܨܥܝܐ ܕܝܢ ܠܐ ܗܘܐ ܕܚܕ ܐܠܗܐ ܕܝܢ ܚܕ ܗܘ
"Is the law then against the promises of God? God forbid: for if there had been a law given which could have given life, verily righteousness should have been by the law.",ܢܡܘܤܐ ܗܟܝܠ ܤܩܘܒܠܐ ܗܘ ܕܡܘܠܟܢܐ ܕܐܠܗܐ ܚܤ ܐܠܘ ܓܝܪ ܐܬܝܗܒ ܗܘܐ ܢܡܘܤܐ ܐܝܢܐ ܕܡܫܟܚ ܗܘܐ ܠܡܚܝܘ ܫܪܝܪܐܝܬ ܡܢ ܢܡܘܤܐ ܗܘܝܐ ܗܘܬ ܙܕܝܩܘܬܐ
"But the scripture hath concluded all under sin, that the promise by faith of Jesus Christ might be given to them that believe.",ܐܠܐ ܚܒܫ ܟܬܒܐ ܟܠܡܕܡ ܬܚܝܬ ܚܛܝܬܐ ܕܡܘܠܟܢܐ ܒܗܝܡܢܘܬܐ ܕܝܫܘܥ ܡܫܝܚܐ ܢܬܝܗܒ ܠܐܝܠܝܢ ܕܡܗܝܡܢܝܢ
"But before faith came, we were kept under the law, shut up unto the faith which should afterwards be revealed.",ܥܕܠܐ ܕܝܢ ܬܐܬܐ ܗܝܡܢܘܬܐ ܢܡܘܤܐ ܢܛܪ ܗܘܐ ܠܢ ܟܕ ܚܒܝܫܝܢܢ ܠܗܝܡܢܘܬܐ ܕܥܬܝܕܐ ܗܘܬ ܠܡܬܓܠܝܘ
"Wherefore the law was our schoolmaster to bring us unto Christ, that we might be justified by faith.",ܢܡܘܤܐ ܗܟܝܠ ܬܪܐܐ ܗܘܐ ܠܢ ܠܘܬ ܡܫܝܚܐ ܕܡܢ ܗܝܡܢܘܬܐ ܢܙܕܕܩ
"But after that faith is come, we are no longer under a schoolmaster.",ܟܕ ܐܬܬ ܕܝܢ ܗܝܡܢܘܬܐ ܠܐ ܗܘܝܢ ܬܚܝܬ ܬܪܐܐ
For ye are all the children of God by faith in Christ Jesus.,ܟܠܟܘܢ ܓܝܪ ܒܢܝܐ ܐܢܬܘܢ ܕܐܠܗܐ ܒܗܝܡܢܘܬܐ ܕܝܫܘܥ ܡܫܝܚܐ
For as many of you as have been baptized into Christ have put on Christ.,ܐܝܠܝܢ ܓܝܪ ܕܒܡܫܝܚܐ ܥܡܕܬܘܢ ܠܡܫܝܚܐ ܠܒܫܬܘܢ
"There is neither Jew nor Greek, there is neither bond nor free, there is neither male nor female: for ye are all one in Christ Jesus.",ܠܝܬ ܝܗܘܕܝܐ ܘܠܐ ܐܪܡܝܐ ܠܝܬ ܥܒܕܐ ܘܠܐ ܒܪ ܚܐܪܐ ܠܝܬ ܕܟܪܐ ܘܠܐ ܢܩܒܬܐ ܟܠܟܘܢ ܓܝܪ ܚܕ ܐܢܬܘܢ ܒܝܫܘܥ ܡܫܝܚܐ
"And if ye be Christ's, then are ye Abraham's seed, and heirs according to the promise.",ܘܐܢ ܕܡܫܝܚܐ ܐܢܬܘܢ ܡܟܝܠ ܙܪܥܗ ܐܢܬܘܢ ܕܐܒܪܗܡ ܘܝܪܬܐ ܒܡܘܠܟܢܐ
"Now I say, That the heir, as long as he is a child, differeth nothing from a servant, though he be lord of all;",ܐܡܪ ܐܢܐ ܕܝܢ ܕܟܡܐ ܙܒܢܐ ܕܝܪܬܐ ܛܠܐ ܠܐ ܦܪܝܫ ܡܢ ܥܒܕܐ ܟܕ ܡܪܐ ܗܘ ܕܟܠܗܘܢ
But is under tutors and governors until the time appointed of the father.,ܐܠܐ ܬܚܝܬ ܐܦܛܪܘܦܐ ܐܝܬܘܗܝ ܘܪܒܝ ܒܬܐ ܥܕܡܐ ܠܙܒܢܐ ܕܤܡ ܐܒܘܗܝ
"Even so we, when we were children, were in bondage under the elements of the world:",ܗܟܢܐ ܐܦ ܚܢܢ ܟܕ ܝܠܘܕܐ ܗܘܝܢ ܬܚܝܬ ܐܤܛܘܟܤܘܗܝ ܕܥܠܡܐ ܡܫܥܒܕܝܢ ܗܘܝܢ
"But when the fulness of the time was come, God sent forth his Son, made of a woman, made under the law,",ܟܕ ܡܛܐ ܕܝܢ ܫܘܠܡܗ ܕܙܒܢܐ ܫܕܪ ܐܠܗܐ ܠܒܪܗ ܘܗܘܐ ܡܢ ܐܢܬܬܐ ܘܗܘܐ ܬܚܝܬ ܢܡܘܤܐ
